No,US-ID,ユーザー,アクティビティ,サブアクティビティ,ユーザーストーリー,実装ステータス,判定理由,受入基準
1,US-001,EMP_採用担当者,A. 採用計画,3. 採⽤⽬標⼈数の設定,職種・求⼈ごとに「採⽤⽬標⼈数」を登録・確認する,部分実装,既存機能 + 今回拡張で一部のみ対応,- 求⼈票作成画⾯で「採⽤⽬標⼈数」を数値入⼒できる
1,US-001,JS_求職者,P. その他,1. ユーザーアクティビティ・基本情報,会員登録時に基本情報を入力する,部分実装,プロフィール入力基盤は実装済みだが会員登録フロー統合は要追加,- 会員登録時に基本情報（年代・居住地・学歴・職歴・希望職種等）を入力できること
1,US-001,PC_運営者,P. その他,1. 求職者へのアクション,求職者にプラットフォーム内通知・メール通知を送信する,既存実装あり,現行システムの既存機能で対応済み想定（要受入確認）,- プラットフォーム内通知・メール通知を求職者に送信できること
1,US-001,RP,A. 採用計画,1. 採用充足率の横断確認,担当する複数官公庁の採用目標人数・充足率・直近の試験日程を一画面で横断確認する,今回実装済,本対応でAPI/画面を追加済み,"- 担当している官公庁一覧が表示される
- 各官公庁の行に「採用目標 / 直近試験日」が表示される
- 試験日程は、カレンダービュー（月・週）と一覧ビューの両方で確認できる
- 閲覧のみができる（編集権限は官公庁の採用担当者のみ）"
2,US-001,EMP_採用担当者,A. 採用計画,4. 母集団形成の計画,過去の採⽤ファネルデータ（エントリー数・各選考通過率・内定承諾率）を参照する,部分実装,既存機能 + 今回拡張で一部のみ対応,"- 採⽤ファネルは、エントリー→⼀次→⼆次→内定→承諾の区分で参照できる
- 採⽤ファネルデータは、エントリー数・各選考通過率・内定承諾率が参照できる
- 年度別（前年度・前々年度 等）に参照できる"
2,US-002,JS_求職者,P. その他,1. ユーザーアクティビティ・基本情報,価値観・思考性に関する設問に回答しプロフィールを蓄積する,今回実装済,価値観プロフィールAPI/画面を追加し回答蓄積を実装,- 価値観・思考性に関する設問への回答をプロフィールとして蓄積できること
2,US-002,PC_運営者,P. その他,1. 求職者へのアクション,送信対象をユーザー属性等の条件で絞り込む,既存実装あり,現行システムの既存機能で対応済み想定（要受入確認）,- ユーザー属性や登録自治体等の条件で送信対象を絞り込めること
2,US-002,RP,A. 採用計画,1. 採用充足率の横断確認,選択した官公庁の詳細状況を確認する,部分実装,既存機能 + 今回拡張で一部のみ対応,- 官公庁名をクリックすると該当官公庁の詳細ダッシュボードに遷移できる
3,US-001,EMP_採用担当者,A. 採用計画,6. 試験⽇程の設定,「試験⽇程」を登録・確認する,既存実装あり,現行システムの既存機能で対応済み想定（要受入確認）,"- 求人票の作成・編集画面で選考ステップごとに日程（日付・時間帯）を登録できる
- 登録した日程がカレンダービュー（月・週）と一覧ビューの両方で確認できる
- 複数求人が同一日程に重なる場合、カレンダー上で視覚的に識別できる（色分け等）"
3,US-003,JS_求職者,P. その他,1. ユーザーアクティビティ・基本情報,AIが最適な地域・求人・コンテンツのレコメンドを受け取る,今回実装済,本対応でAPI/画面を追加済み,- 蓄積データをもとにAIが最適な地域・求人・コンテンツをレコメンドできること
3,US-003,PC_運営者,P. その他,1. 求職者へのアクション,通知テンプレートを作成・管理し変数を動的に差し込む,既存実装あり,現行システムの既存機能で対応済み想定（要受入確認）,- 通知テンプレートを作成・管理でき、変数を動的に差し込めること
3,US-001,RP,N. 選考管理,1. 採用充足状況の横断確認,担当する複数官公庁の採用目標人数・充足率・直近の試験日程を一画面で横断確認する,今回実装済,本対応でAPI/画面を追加済み,"- 担当している官公庁一覧が充足率の低い順にソートして表示される
- 各官公庁の行に「採用目標 / 現充足率 / 直近試験日」が表示される
- 充足率が閾値以下の官公庁には警告アイコンが表示される"
4,US-002,EMP_採用担当者,A. 採用計画,3. 採⽤⽬標⼈数の設定,「採⽤⽬標⼈数」をダッシュボードで確認する,部分実装,既存機能 + 今回拡張で一部のみ対応,- TBD
4,US-002,RP,N. 選考管理,1. 採用充足状況の横断確認,選択した官公庁の詳細状況を確認する,部分実装,既存機能 + 今回拡張で一部のみ対応,- 官公庁名をクリックすると該当官公庁の詳細ダッシュボードに遷移できる
5,US-002,EMP_採用担当者,A. 採用計画,4. 母集団形成の計画,「必要エントリー数（⽬安）」を確認する,今回実装済,本対応でAPI/画面を追加済み,"- 「必要エントリー数（⽬安）」の計算には、過去平均通過率を使⽤する
- 初年度など過去データがない場合は計算を⾏わない
- 初年度など過去データがない場合は「データ蓄積中」と表⽰する
- 計算結果はあくまで「⽬安」であることを注釈として明⽰する"
5,US-005,JS_求職者,P. その他,1. ユーザーアクティビティ・基本情報,普段接触しない地域・職種の情報を探索型表示で受け取る,今回実装済,本対応でAPI/画面を追加済み,- 普段接触しない地域・職種の情報を偶発的に提示する探索型表示ができること
5,US-005,PC_運営者,P. その他,1. 求職者へのアクション,通知の開封率・クリック率を計測する,部分実装,一部指標・比較機能のみ先行実装,- 通知の開封率・クリック率を計測できること
5,US-001,RP,P. その他,1. AIリクルーティングプロデューサー,採用フェーズに応じた推奨アクションをAIから受け取る,部分実装,AI採用支援API/画面を追加済み（複数自治体運用の実データ連携は要拡張）,- 採用フェーズに応じた推奨アクションをAIが提示できること
6,US-002,EMP_採用担当者,A. 採用計画,6. 試験⽇程の設定,「試験⽇程」が近づいた際にリマインドを受ける,既存実装あり,現行システムの既存機能で対応済み想定（要受入確認）,- 日程が近づいた際（例: 3日前）に通知またはダッシュボード上でリマインド表示される
6,US-006,PC_運営者,P. その他,1. 求職者へのアクション,緊急通知を全ユーザーへ即時配信する,既存実装あり,現行システムの既存機能で対応済み想定（要受入確認）,- 緊急通知を全ユーザーへ即時配信できること
6,US-002,RP,P. その他,1. AIリクルーティングプロデューサー,対応期限が近いタスクのリマインド通知を受け取る,部分実装,AI採用支援API/画面を追加済み（複数自治体運用の実データ連携は要拡張）,- 対応期限が近いタスクをAIがリマインド通知できること
7,US-001,EMP_採用担当者,B. 採用広報,1. 応募者向けオンラインメディア,メディアページに動画・記事コンテンツを掲載・管理する,部分実装,既存機能 + 今回拡張で一部のみ対応,- プラットフォーム内にメディアページを新設し、動画・記事コンテンツを掲載・管理できること
7,US-003,RP,P. その他,1. AIリクルーティングプロデューサー,応募者状況・採用アクティビティの週次レポートを受け取る,部分実装,AI採用支援API/画面を追加済み（複数自治体運用の実データ連携は要拡張）,"- 応募者状況・採用アクティビティを週次レポートとして自動生成・配信できること
- 週次レポートには前週比較・目標達成率・推奨アクションを必ず含むこと"
8,US-001,EMP_採用担当者,B. 採用広報,2. ブログ記事発信,音源・文書ファイルをインポートしAIが記事本文を自動生成する,部分実装,既存機能 + 今回拡張で一部のみ対応,"- 既存のブログ記事執筆・投稿機能を維持しつつ追加機能として利用できること
- 以下のファイル形式をインポートしてAIが記事本文を自動生成できること
  ・音声ファイル（MP3・WAV・M4A）
  ・PDF（募集要項・パンフレット・説明会資料など）
  ・Word文書（.docx）
  ・PowerPointファイル（.pptx）
- インポート後、AIがファイルの内容を解析し記事構成（見出し・本文・まとめ）を自動生成できること
- 複数ファイルを同時にインポートして統合記事を生成できること
- 生成された記事はそのまま投稿または編集・修正が可能であること"
8,US-004,RP,P. その他,1. AIリクルーティングプロデューサー,複数自治体担当の場合、自治体ごとの進捗を一覧確認する,部分実装,AI採用支援API/画面を追加済み（複数自治体運用の実データ連携は要拡張）,- 複数自治体担当の場合、自治体ごとの進捗を一覧確認できること
9,US-001,EMP_採用担当者,B. 採用広報,3. 採用案内発信,求人リンクをカード型・バナー型などのUIフォーマットで表示する,部分実装,既存機能 + 今回拡張で一部のみ対応,- 求人リンクをカード型・バナー型などUI上の独自フォーマットで表示できること
9,US-005,RP,P. その他,1. AIリクルーティングプロデューサー,過去データをもとにAIが先回りで実施すべき施策の提案を受け取る,部分実装,AI採用支援API/画面を追加済み（複数自治体運用の実データ連携は要拡張）,- 過去データをもとに「この時期にやるべきこと」をAIが先回りで提案できること
10,US-001,EMP_採用担当者,B. 採用広報,4. SNS投稿,主要SNSアカウントとAPI連携しプラットフォーム内から投稿を一元管理する,部分実装,既存機能 + 今回拡張で一部のみ対応,- 主要SNSアカウントとAPI連携でき、プラットフォーム内から投稿を一元管理できること
11,US-001,EMP_採用担当者,B. 採用広報,5. 見込み応募者へのメッセージ送信,自治体ページのフォロワー数・属性を把握する,部分実装,一部指標・比較機能のみ先行実装,"- 官公庁・自治体ページのフォロワー数をリアルタイムで確認できる
- フォロワーの属性情報（年代・居住地・閲覧コンテンツ傾向等）を集計・可視化できる"
12,US-002,EMP_採用担当者,B. 採用広報,1. 応募者向けオンラインメディア,会員登録状態に応じて閲覧可能なコンテンツ範囲を制御する,部分実装,既存機能 + 今回拡張で一部のみ対応,- 会員登録状態に応じて閲覧可能なコンテンツ範囲を制御できること
13,US-002,EMP_採用担当者,B. 採用広報,2. ブログ記事発信,記事のトーンをサンプルから選択して生成スタイルを指定する,部分実装,既存機能 + 今回拡張で一部のみ対応,"- 記事のトーンをサンプルから選択して生成スタイルを指定できること
- 音声・文書ファイルのどちらから生成した場合でも同様にトーン選択が適用されること"
14,US-002,EMP_採用担当者,B. 採用広報,3. 採用案内発信,必要事項を入力しAIが掲載コンテンツの本文・見出しを自動生成する,部分実装,既存機能 + 今回拡張で一部のみ対応,- 必要事項を入力すると掲載コンテンツの本文・見出しをAIが自動生成できること
15,US-002,EMP_採用担当者,B. 採用広報,4. SNS投稿,AIが各SNS形式に最適化された文面と画像を生成する,部分実装,既存機能 + 今回拡張で一部のみ対応,"- 「SNS投稿用に変換」ボタン押下で各SNS形式に最適化された文面と画像をAIが生成できること
- プラットフォーム固有の制約（文字数・ハッシュタグ等）に自動対応できること"
16,US-002,EMP_採用担当者,B. 採用広報,5. 見込み応募者へのメッセージ送信,フォロワーの属性情報を集計・可視化する,部分実装,一部指標・比較機能のみ先行実装,- フォロワーの属性情報（年代・居住地・閲覧傾向等）を集計・可視化できること
17,US-003,EMP_採用担当者,B. 採用広報,1. 応募者向けオンラインメディア,AIが関連コンテンツをレコメンド表示する,今回実装済,本対応でAPI/画面を追加済み,- 閲覧履歴をもとにAIが関連コンテンツをレコメンド表示できること
18,US-003,EMP_採用担当者,B. 採用広報,2. ブログ記事発信,投稿前にAIが誤植・表記ゆれ・不適切表現を検出し修正候補を確認する,部分実装,既存機能 + 今回拡張で一部のみ対応,- 投稿前にAIが誤植・表記ゆれ・不適切表現を検出し修正候補を表示できること
19,US-003,EMP_採用担当者,B. 採用広報,3. 採用案内発信,公開前にAIが誤植・表記ゆれを検出する,部分実装,既存機能 + 今回拡張で一部のみ対応,- 公開前にAIが誤植・表記ゆれを検出できること
20,US-003,EMP_採用担当者,B. 採用広報,4. SNS投稿,生成内容をプレビュー確認・編集し即時または予約投稿する,部分実装,既存機能 + 今回拡張で一部のみ対応,"- 生成内容はプレビューで確認・編集でき承認後に即時または予約投稿できること
- 投稿日時を予約設定でき最適な配信タイミングをAIが提案できること"
21,US-003,EMP_採用担当者,B. 採用広報,5. 見込み応募者へのメッセージ送信,ターゲットを絞り込む,部分実装,既存機能 + 今回拡張で一部のみ対応,- 全フォロワーまたはセグメント（年代・居住地等）を指定してターゲットを絞り込むことができる
22,US-004,EMP_採用担当者,B. 採用広報,1. 応募者向けオンラインメディア,公務員ユーザーがナレッジ・ノウハウをコンテンツとして投稿する,部分実装,既存機能 + 今回拡張で一部のみ対応,"- 公務員ユーザーがナレッジ・ノウハウをコンテンツとして投稿できること
- 投稿コンテンツは承認フローを経て公開されること"
23,US-004,EMP_採用担当者,B. 採用広報,2. ブログ記事発信,生成された記事を編集・プレビュー確認後に公開する,部分実装,既存機能 + 今回拡張で一部のみ対応,- 生成された記事は編集・保存が可能でプレビュー確認後に公開できること
24,US-004,EMP_採用担当者,B. 採用広報,3. 採用案内発信,掲載期間を設定し期間終了後に自動アーカイブする,部分実装,既存機能 + 今回拡張で一部のみ対応,- 掲載期間を設定でき、期間終了後は自動的にアーカイブ移行されること
25,US-004,EMP_採用担当者,B. 採用広報,4. SNS投稿,各SNSのインプレッション・エンゲージメント率をダッシュボードで確認する,部分実装,既存機能 + 今回拡張で一部のみ対応,- 各SNSのインプレッション・エンゲージメント率をダッシュボードで確認できること
26,US-004,EMP_採用担当者,B. 採用広報,5. 見込み応募者へのメッセージ送信,メッセージ文面を記載する,部分実装,既存機能 + 今回拡張で一部のみ対応,"- メッセージ文面の下書きをAIが生成する
- AIが生成した下書き文面を編集できる
- メッセージ文面の最終確認ができる"
27,US-005,EMP_採用担当者,B. 採用広報,1. 応募者向けオンラインメディア,コンテンツごとの閲覧数・視聴完了率・流入経路をダッシュボードで確認する,今回実装済,本対応でAPI/画面を追加済み,- コンテンツごとの閲覧数・視聴完了率・流入経路をダッシュボードで確認できること
28,US-005,EMP_採用担当者,B. 採用広報,2. ブログ記事発信,記事ごとの閲覧数・シェア数・平均滞在時間をダッシュボードで確認する,部分実装,既存機能 + 今回拡張で一部のみ対応,- 記事ごとの閲覧数・シェア数・平均滞在時間をダッシュボードで確認できること
29,US-005,EMP_採用担当者,B. 採用広報,3. 採用案内発信,複数の採用案内をステータスで一覧管理する,部分実装,既存機能 + 今回拡張で一部のみ対応,- 複数の採用案内をステータス（下書き・公開中・終了）で一覧管理できること
30,US-005,EMP_採用担当者,B. 採用広報,5. 見込み応募者へのメッセージ送信,ターゲットにメッセージを送信する,部分実装,既存機能 + 今回拡張で一部のみ対応,- 絞り込んだターゲットに対し、メッセージの一斉送信ができる
31,US-005,EMP_採用担当者,B. 採用広報,5. 見込み応募者へのメッセージ送信,メッセージの開封率・クリック率を確認する,部分実装,一部指標・比較機能のみ先行実装,- 送信メッセージの開封率・クリック率を計測できる
32,US-006,EMP_採用担当者,B. 採用広報,3. 採用案内発信,採用案内ごとの閲覧数・クリック数・応募転換率を確認する,今回実装済,本対応でAPI/画面を追加済み,- 閲覧数・クリック数・応募転換率を採用案内ごとに確認できること
33,US-006,EMP_採用担当者,B. 採用広報,5. 見込み応募者へのメッセージ送信,フォロワーへ自動通知をする設定を管理する,部分実装,一部指標・比較機能のみ先行実装,- 新コンテンツ・採用案内公開時にフォロワーへ自動通知する設定を管理できること
34,US-007,EMP_採用担当者,B. 採用広報,5. 見込み応募者へのメッセージ送信,フォロワー数の推移をグラフで確認し施策との相関を分析する,部分実装,一部指標・比較機能のみ先行実装,- フォロワー数の推移をグラフで確認でき施策との相関を分析できること
35,US-001,EMP_採用担当者,C. 募集活動,1. 求人掲載,入力した求人票データについてAIからの改善提案を確認する,既存実装あり,現行システムの既存機能で対応済み想定（要受入確認）,"- 必求人票の入力フォームがAI収集に最適化された構造化フォーマットに刷新されること
- 既存の求人票データをもとにAIが改善提案を提示できること
- 過去の求人票をテンプレートとして複製・再利用できること
- 求人票の入力内容がスカウト機能・応募者分析機能と自動連携されること"
36,US-001,EMP_採用担当者,C. 募集活動,4. イベント集客,イベント情報を入力する,既存実装あり,現行システムの既存機能で対応済み想定（要受入確認）,- 必要事項（イベント名・日時・場所・定員・概要等）を入力できる
37,US-001,EMP_採用担当者,C. 募集活動,6. アンケート実施,アンケートを作成する,既存実装あり,現行システムの既存機能で対応済み想定（要受入確認）,- 設問形式（選択式・評点式・自由記述）を組み合わせてアンケートを作成できること
38,US-002,EMP_採用担当者,C. 募集活動,1. 求人掲載,求人票の公開・非公開・掲載期間を一画面で一元管理する,既存実装あり,現行システムの既存機能で対応済み想定（要受入確認）,- 求人票の公開・非公開・掲載期間を一画面で一元管理できること
39,US-002,EMP_採用担当者,C. 募集活動,4. イベント集客,イベントページを掲載する,既存実装あり,現行システムの既存機能で対応済み想定（要受入確認）,- 入力したイベント情報を公開できる
40,US-002,EMP_採用担当者,C. 募集活動,6. アンケート実施,アンケートの配信対象を設定する,既存実装あり,現行システムの既存機能で対応済み想定（要受入確認）,- 配信対象を全求職者・イベント参加者・特定求人の求職者・イベント参加者等から絞り込んで設定できること
41,US-003,EMP_採用担当者,C. 募集活動,1. 求人掲載,求人票の分析,既存実装あり,現行システムの既存機能で対応済み想定（要受入確認）,- 求人票ごとに閲覧数・応募数・辞退率をダッシュボードで確認できること
42,US-003,EMP_採用担当者,C. 募集活動,4. イベント集客,申込者情報・申込数・定員充足率・キャンセル数をダッシュボードで確認する,今回実装済,本対応でAPI/画面を追加済み,"- イベント申込者の情報をダッシュボードで一覧確認できる
- 申込数・定員充足率・キャンセル数をリアルタイムで確認できる"
43,US-003,EMP_採用担当者,C. 募集活動,6. アンケート実施,アンケートの配信トリガーを設定する,既存実装あり,現行システムの既存機能で対応済み想定（要受入確認）,- 任意タイミングでアンケートを配信するトリガーを設定できること
44,US-004,EMP_採用担当者,C. 募集活動,4. イベント集客,参加者にリマインドメッセージを自動送信する,既存実装あり,現行システムの既存機能で対応済み想定（要受入確認）,- 参加者に対してリマインドメッセージを自動送信できる
45,US-004,EMP_採用担当者,C. 募集活動,6. アンケート実施,回答結果をダッシュボードで確認する,既存実装あり,現行システムの既存機能で対応済み想定（要受入確認）,- 回答結果をダッシュボード上でグラフ・集計表として可視化できること
46,US-005,EMP_採用担当者,C. 募集活動,4. イベント集客,申込者情報をCSV形式でダウンロードする,既存実装あり,現行システムの既存機能で対応済み想定（要受入確認）,- 申込者情報をCSV形式でダウンロードできる
47,US-005,EMP_採用担当者,C. 募集活動,6. アンケート実施,回答データをCSV形式でダウンロードする,既存実装あり,現行システムの既存機能で対応済み想定（要受入確認）,- 回答データをCSV形式で出力できること
48,US-006,EMP_採用担当者,C. 募集活動,4. イベント集客,過去イベントの参加者数・応募転換率を年度別に比較分析する,今回実装済,本対応でAPI/画面を追加済み,- 過去イベントの参加者数・応募転換率を年度別に比較分析できる
49,US-006,EMP_採用担当者,C. 募集活動,6. アンケート実施,自由記述回答をAIが分析したインサイトサマリーを確認する,既存実装あり,現行システムの既存機能で対応済み想定（要受入確認）,- 自由記述回答をAIがカテゴリ分類しインサイトをサマリーで提示できること
50,US-001,EMP_採用担当者,D. エントリー受付,1. 応募者分析,応募者の流入経路をダッシュボードで一覧確認する,今回実装済,本対応でAPI/画面を追加済み,- 応募者の流入経路をダッシュボードで一覧確認できること
51,US-002,EMP_採用担当者,D. エントリー受付,1. 応募者分析,流入経路を複数の切り口で比較分析する,今回実装済,本対応でAPI/画面を追加済み,- 流入経路分析を求人別・年度別・職種別など複数の切り口で比較できること
52,US-003,EMP_採用担当者,D. エントリー受付,1. 応募者分析,応募者の基本属性を集計・グラフ表示する,部分実装,既存機能 + 今回拡張で一部のみ対応,- 応募者の基本属性を集計・グラフ表示できること
53,US-004,EMP_採用担当者,D. エントリー受付,1. 応募者分析,AIが面接官向け支援レポートを自動生成する,部分実装,既存機能 + 今回拡張で一部のみ対応,- AIが面接官向け支援レポート（応募理由の要点・注目経歴・推奨確認事項）を自動生成できること
54,US-005,EMP_採用担当者,D. エントリー受付,1. 応募者分析,面接官向けレポートを配信する,部分実装,既存機能 + 今回拡張で一部のみ対応,- 面接官向けレポートを面接前に自動配信または手動で送付できること
55,US-006,EMP_採用担当者,D. エントリー受付,1. 応募者分析,応募者データをCSV形式でダウンロードする,部分実装,既存機能 + 今回拡張で一部のみ対応,- 応募者データをCSV形式でダウンロードできること
56,US-001,EMP_採用担当者,E. 選考準備,1. 面接試験設計と評価基準策定,AIがコンピテンシー候補を自動提案する,既存実装あり,現行システムの既存機能で対応済み想定（要受入確認）,- コンピテンシー候補（主体性・対人調整力・粘り強さ等）をAIが自動提案できること
57,US-001,EMP_採用担当者,E. 選考準備,2. 面接官の訓練,AIが演じる模擬受験生と模擬面接トレーニングを実施する,既存実装あり,現行システムの既存機能で対応済み想定（要受入確認）,"- 面接官がAIが演じる模擬受験生と実際の面接形式でトレーニングを実施できること
- AI受験生は設定した人物像に基づいて一貫した応答ができること
- トレーニングはPCブラウザ上でテキスト形式で完結できること"
58,US-001,EMP_採用担当者,E. 選考準備,3. 日本人事試験研究センターとの連携,日本人事試験研究センターとAPI連携し試験申込・結果取得を自動化する,既存実装あり,現行システムの既存機能で対応済み想定（要受入確認）,- 日本人事試験研究センターとAPI連携でき試験申込・結果取得を自動化できること（詳細仕様は別途協議）
