No,US-ID,ユーザー,アクティビティ,サブアクティビティ,ユーザーストーリー,実装ステータス,判定理由,受入基準
59,US-002,EMP_採用担当者,E. 選考準備,1. 面接試験設計と評価基準策定,重点見極め項目をカスタマイズ設定する,既存実装あり,現行システムの既存機能で対応済み想定（要受入確認）,- 自治体の特性・職種に応じた重点見極め項目をカスタマイズ設定できること
60,US-002,EMP_採用担当者,E. 選考準備,2. 面接官の訓練,複数の面接シナリオを選択してトレーニングする,既存実装あり,現行システムの既存機能で対応済み想定（要受入確認）,- 複数の面接シナリオを選択してトレーニングできること
61,US-002,EMP_採用担当者,E. 選考準備,3. 日本人事試験研究センターとの連携,取得した試験結果を応募者管理ダッシュボードに自動反映する,既存実装あり,現行システムの既存機能で対応済み想定（要受入確認）,- 取得した試験結果が応募者管理ダッシュボードに自動反映されること
62,US-003,EMP_採用担当者,E. 選考準備,1. 面接試験設計と評価基準策定,AIが面接評価シートを自動生成する,既存実装あり,現行システムの既存機能で対応済み想定（要受入確認）,- 面接評価シート（評価項目・評点基準・STAR法質問例）をAIが自動生成できること
63,US-003,EMP_採用担当者,E. 選考準備,2. 面接官の訓練,トレーニング後にAIがパフォーマンスをスコアリングする,既存実装あり,現行システムの既存機能で対応済み想定（要受入確認）,- トレーニング後に面接官のパフォーマンスをAIがスコアリングできること
64,US-003,EMP_採用担当者,E. 選考準備,3. 日本人事試験研究センターとの連携,試験結果と面接評価を組み合わせた総合スコアを確認する,既存実装あり,現行システムの既存機能で対応済み想定（要受入確認）,- 試験結果と面接評価を組み合わせた総合スコアをダッシュボードで確認できること
65,US-004,EMP_採用担当者,E. 選考準備,1. 面接試験設計と評価基準策定,過去の選考結果データをもとにAIが合格者のコンピテンシーを分析する,既存実装あり,現行システムの既存機能で対応済み想定（要受入確認）,- 過去の選考結果データをもとに合格者に共通するコンピテンシーをAIが分析・提示できること
66,US-004,EMP_採用担当者,E. 選考準備,2. 面接官の訓練,スコアリング結果をもとにAIが改善アドバイスをフィードバックする,既存実装あり,現行システムの既存機能で対応済み想定（要受入確認）,- スコアリング結果に基づく改善アドバイスをAIがフィードバックできること
67,US-004,EMP_採用担当者,E. 選考準備,3. 日本人事試験研究センターとの連携,連携エラー発生時にアラート通知を受ける,既存実装あり,現行システムの既存機能で対応済み想定（要受入確認）,- 連携エラー発生時に管理者へアラート通知が届くこと
68,US-005,EMP_採用担当者,E. 選考準備,1. 面接試験設計と評価基準策定,面接評価シートを編集・保存・再利用する,既存実装あり,現行システムの既存機能で対応済み想定（要受入確認）,- 面接評価シートは編集・保存が可能で次回以降テンプレートとして再利用できること
69,US-005,EMP_採用担当者,E. 選考準備,3. 日本人事試験研究センターとの連携,連携対象のデータ項目・タイミングを設定する,既存実装あり,現行システムの既存機能で対応済み想定（要受入確認）,- 連携対象のデータ項目・タイミングを設定画面から管理できること
70,US-006,EMP_採用担当者,E. 選考準備,1. 面接試験設計と評価基準策定,面接評価シートをPDF形式で出力する,既存実装あり,現行システムの既存機能で対応済み想定（要受入確認）,- 面接評価シートをPDF形式で出力できること
71,US-006,EMP_採用担当者,E. 選考準備,3. 日本人事試験研究センターとの連携,試験結果データをCSV形式で出力する,既存実装あり,現行システムの既存機能で対応済み想定（要受入確認）,- 試験結果データをCSV形式で出力できること
72,US-001,EMP_採用担当者,F. 書類選考,1. エントリーシート受付・評価支援,エントリーシートをオンラインで受付・一元管理する,既存実装あり,現行システムの既存機能で対応済み想定（要受入確認）,- エントリーシートをプラットフォーム上でオンライン受付・一元管理できること
73,US-002,EMP_採用担当者,F. 書類選考,1. エントリーシート受付・評価支援,受付締切を設定する,既存実装あり,現行システムの既存機能で対応済み想定（要受入確認）,- 受付締切を設定でき、期限後の応募を自動的に受付不可にできること
74,US-003,EMP_採用担当者,F. 書類選考,1. エントリーシート受付・評価支援,応募者ごとのエントリーシートのAI要約と確認ポイントを確認する,既存実装あり,現行システムの既存機能で対応済み想定（要受入確認）,- 応募者ごとのエントリーシート内容をAIが要約し、評価者向けの確認ポイントを提示できること
75,US-004,EMP_採用担当者,F. 書類選考,1. エントリーシート受付・評価支援,評価結果を記録する,既存実装あり,現行システムの既存機能で対応済み想定（要受入確認）,- 評価者が評価結果（評点・コメント）をプラットフォーム上で記録できること
76,US-005,EMP_採用担当者,F. 書類選考,1. エントリーシート受付・評価支援,[@20260410_SFT追記] 当落線上の応募者には追加審査（AI面接）を案内する,今回実装済,本対応でAPI/画面を追加済み,- TBD
77,US-006,EMP_採用担当者,F. 書類選考,1. エントリーシート受付・評価支援,複数評価者の評価結果を集計し合否判断を行う,既存実装あり,現行システムの既存機能で対応済み想定（要受入確認）,- 複数評価者の評価結果を集計し、合否判断を支援できること
78,US-007,EMP_採用担当者,F. 書類選考,1. エントリーシート受付・評価支援,合否結果を応募者へ通知する,既存実装あり,現行システムの既存機能で対応済み想定（要受入確認）,- 合否結果を応募者へ一括またはセグメント別にメッセージ通知できること
79,US-001,EMP_採用担当者,J. 録画面接,1. 録画面接の設定・実施・評価,録画面接を設定する,既存実装あり,現行システムの既存機能で対応済み想定（要受入確認）,- 質問内容・回答時間・再撮影可否等の録画面接設定をプラットフォーム上で行えること
80,US-002,EMP_採用担当者,J. 録画面接,1. 録画面接の設定・実施・評価,応募者が録画面接を受験・動画を提出する,既存実装あり,現行システムの既存機能で対応済み想定（要受入確認）,- 応募者がプラットフォーム上で録画面接を受験・動画を提出できること
81,US-003,EMP_採用担当者,J. 録画面接,1. 録画面接の設定・実施・評価,提出された録画動画を再生・評価する,既存実装あり,現行システムの既存機能で対応済み想定（要受入確認）,- 提出された録画動画を評価者がプラットフォーム上で再生・評価できること
82,US-004,EMP_採用担当者,J. 録画面接,1. 録画面接の設定・実施・評価,AIが提案する評価観点・評点基準を参照し、面接評価シートを完成させる,既存実装あり,現行システムの既存機能で対応済み想定（要受入確認）,- 評価観点・評点基準をAIが自動提案し、面接評価シートを生成できること
83,US-005,EMP_採用担当者,J. 録画面接,1. 録画面接の設定・実施・評価,評価結果を記録・提出する,既存実装あり,現行システムの既存機能で対応済み想定（要受入確認）,- 評価者が評価結果をプラットフォーム上で記録・提出できること
84,US-006,EMP_採用担当者,J. 録画面接,1. 録画面接の設定・実施・評価,録画面接の結果を応募者管理ダッシュボードに自動反映する,既存実装あり,現行システムの既存機能で対応済み想定（要受入確認）,- 録画面接の結果が応募者管理ダッシュボードに自動反映されること
85,US-001,EMP_採用担当者,K. 対話型AI面接,1. 対話型AI面接の設定・結果確認,対話型AI面接を設定する,今回実装済,本対応でAPI/画面を追加済み,- 質問内容・評価基準・制限時間等のAI面接設定をプラットフォーム上で行えること
86,US-002,EMP_採用担当者,K. 対話型AI面接,1. 対話型AI面接の設定・結果確認,応募者がAIとの対話形式の面接を受験する,部分実装,既存機能 + 今回拡張で一部のみ対応,- 応募者がプラットフォーム上でAIとの対話形式の面接を受験できること
87,US-003,EMP_採用担当者,K. 対話型AI面接,1. 対話型AI面接の設定・結果確認,AI面接の評価結果をダッシュボードで確認する,今回実装済,本対応でAPI/画面を追加済み,- AI面接の評価結果（応答内容の要約・評点・注目点）をダッシュボードで確認できること
88,US-004,EMP_採用担当者,K. 対話型AI面接,1. 対話型AI面接の設定・結果確認,AI面接結果と他の選考データを統合して閲覧する,今回実装済,本対応でAPI/画面を追加済み,- AI面接結果と他の選考データを統合して閲覧できること
89,US-005,EMP_採用担当者,K. 対話型AI面接,1. 対話型AI面接の設定・結果確認,AI面接結果をもとに合否判断を記録する,今回実装済,本対応でAPI/画面を追加済み,- 評価者がAI面接結果をもとに合否判断をプラットフォーム上で記録できること
90,US-006,EMP_採用担当者,K. 対話型AI面接,1. 対話型AI面接の設定・結果確認,AI面接の結果を応募者管理ダッシュボードに自動反映する,今回実装済,本対応でAPI/画面を追加済み,- AI面接の結果が応募者管理ダッシュボードに自動反映されること
91,US-001,EMP_採用担当者,N. 選考管理,1. 受験者管理・ダッシュボード・応募者FB,全選考フェーズの受験者状況をダッシュボードで一覧確認する,既存実装あり,現行システムの既存機能で対応済み想定（要受入確認）,"- 全選考フェーズの受験者状況をダッシュボードで一覧確認できること
- ダッシュボード上に「目標N名／現在の内定承諾数N名（充足率N%）」がプログレスバーで表示される
- 複数求人を持つ場合、求人ごと・全体合計の両方で充足率を確認できる
- 充足率が設定した閾値（例: 50%未満）を下回った場合、アラート表示される"
92,US-002,EMP_採用担当者,N. 選考管理,1. 受験者管理・ダッシュボード・応募者FB,応募者ごとに全選考結果を統合して閲覧する,既存実装あり,現行システムの既存機能で対応済み想定（要受入確認）,- 応募者ごとに書類・筆記・面接の全選考結果を統合して閲覧できること
93,US-003,EMP_採用担当者,N. 選考管理,1. 受験者管理・ダッシュボード・応募者FB,選考フェーズごとの通過率・離脱率をグラフで確認する,既存実装あり,現行システムの既存機能で対応済み想定（要受入確認）,- 選考フェーズごとの通過率・離脱率をグラフで可視化できること
95,US-005,EMP_採用担当者,N. 選考管理,1. 受験者管理・ダッシュボード・応募者FB,[@20260410_SFT追記] 応募者体験に関わる採用プロセス改善を目的として、応募者へのアンケートを送付する,既存実装あり,現行システムの既存機能で対応済み想定（要受入確認）,"- 設問形式（選択式・評点式・自由記述）を組み合わせてアンケートを作成できること
    - 面接前アンケート
    - 面接後アンケート
    - 内定辞退理由アンケート"
96,US-006,EMP_採用担当者,N. 選考管理,1. 受験者管理・ダッシュボード・応募者FB,応募者データをCSV形式でエクスポートする,既存実装あり,現行システムの既存機能で対応済み想定（要受入確認）,- 応募者データをCSV形式でエクスポートできること
97,US-001,EMP_採用担当者,P. その他,1. AIリクルーティングプロデューサー,採用フェーズに応じた推奨アクションをAIから受け取る,部分実装,AI採用支援API/画面を追加済み（複数自治体運用の実データ連携は要拡張）,- 採用フェーズに応じた推奨アクションをAIが提示できること
98,US-002,EMP_採用担当者,P. その他,1. AIリクルーティングプロデューサー,対応期限が近いタスクのリマインド通知を受け取る,部分実装,AI採用支援API/画面を追加済み（複数自治体運用の実データ連携は要拡張）,- 対応期限が近いタスクをAIがリマインド通知できること
100,US-004,EMP_採用担当者,P. その他,1. AIリクルーティングプロデューサー,複数自治体担当の場合、自治体ごとの進捗を一覧確認する,部分実装,AI採用支援API/画面を追加済み（複数自治体運用の実データ連携は要拡張）,- 複数自治体担当の場合、自治体ごとの進捗を一覧確認できること
PAGE-1,US-PAGE,EMP_採用担当者,B. 採用広報,3. 採用案内発信,採用ページのデザインテンプレートを選択する,部分実装,既存機能 + 今回拡張で一部のみ対応,"- 複数のデザインテンプレート（最低5種類以上）から採用ページのレイアウトを選択できること
- テンプレートはPC・スマートフォン両対応のレスポンシブデザインであること
- テンプレートを選択後もセクション（キービジュアル・求人一覧・メディア・職員インタビュー等）の表示/非表示・並び順を変更できること
- テンプレートはプレビューで確認してから適用できること
- 適用後もいつでもテンプレートを変更できること"
PAGE-2,US-PAGE,EMP_採用担当者,B. 採用広報,3. 採用案内発信,採用ページのメインカラー・フォントを自治体ブランドに合わせて設定する,部分実装,既存機能 + 今回拡張で一部のみ対応,"- メインカラー・サブカラー・アクセントカラーをカラーコード（HEX）またはカラーピッカーで設定できること
- 設定したカラーはボタン・見出し・リンク・背景など全体に自動適用されること
- フォントをプリセットの選択肢（最低5種類以上）から設定できること
- カラー・フォントの変更はリアルタイムでプレビューに反映されること
- アクセシビリティ基準（WCAG 2.1 AA）のコントラスト比を満たさない組み合わせの場合は警告を表示できること"
PAGE-3,US-PAGE,EMP_採用担当者,B. 採用広報,3. 採用案内発信,自治体ロゴ・ファビコン・OGP画像をアップロードして採用ページに設定する,部分実装,既存機能 + 今回拡張で一部のみ対応,"- 自治体ロゴ画像（PNG・SVG・JPEG対応）をアップロードしてヘッダーに表示できること
- ファビコン（ブラウザタブのアイコン）を設定できること
- SNSシェア時に表示されるOGP画像・タイトル・説明文を設定できること
- ロゴの表示サイズ・位置（左/中央）を調整できること
- アップロード画像は推奨サイズのガイドを表示し、サイズ不足の場合は警告を出すこと
- プラットフォーム全体のOGPタイトルのデフォルト値は「公務員採用プラットフォーム PUBLIC CONNECT」とすること
- 自治体が独自のOGPタイトルを設定した場合はそちらを優先表示すること"
PAGE-4,US-PAGE,EMP_採用担当者,B. 採用広報,3. 採用案内発信,採用ページに独自ドメインを設定して公開する,部分実装,既存機能 + 今回拡張で一部のみ対応,"- 自治体が保有する独自ドメインをCNAME設定で採用ページに紐付けられること
- SSL証明書が自動発行・更新されHTTPS通信が担保されること
- 独自ドメイン設定の手順をガイド付きウィザード形式で案内できること
- 独自ドメイン未設定の場合はプラットフォームのサブドメイン（例：a-city.publicconnect.jp）で公開できること
- 独自ドメインへの移行時に旧URLから新URLへ301リダイレクトが設定できること"
PAGE-5,US-PAGE,EMP_採用担当者,B. 採用広報,3. 採用案内発信,採用ページの公開設定・SEO設定を管理する,部分実装,既存機能 + 今回拡張で一部のみ対応,"- ページのメタタイトル・メタディスクリプションを設定できること
- Google Search Consoleとの連携設定（サイトマップ送信・所有権確認）ができること
- 採用ページ全体・求人票単位で公開/非公開を切り替えられること
- 公開開始日・終了日をスケジュール設定できること
- ページのアクセス解析（PV・UU・滞在時間・直帰率）をダッシュボードで確認できること"
NEW-1,US-NEW,EMP_採用担当者,C. 募集活動,1. 求人掲載,AIが職種・採用条件の入力から求人票の下書きを自動生成する,既存実装あり,現行システムの既存機能で対応済み想定（要受入確認）,"- 職種・採用人数・受験資格・試験日程・業務概要などの基本項目を入力するとAIが求人票の下書きを自動生成できること
- 生成された下書きはそのまま投稿または全項目を編集・修正できること
- 生成の際に「業務のやりがい」「職場の雰囲気」などの訴求ポイントをオプションで追加指定できること
- 過去に作成した求人票をテンプレートとして選択し、AIが内容を引き継いで新規生成できること"
NEW-2,US-NEW,EMP_採用担当者,C. 募集活動,1. 求人掲載,類似自治体の求人票や採用実績データをもとにAIが表現を最適化する,既存実装あり,現行システムの既存機能で対応済み想定（要受入確認）,"- 類似規模・類似職種の自治体の求人票パターンをもとにAIが表現の改善提案を提示できること
- 「応募者が増えやすい表現」「離脱率が低い構成」などのインサイトをAIが提示できること
- 提案内容はワンクリックで本文に反映でき、元の表現と比較しながら選択できること"
NEW-3,US-NEW,EMP_採用担当者,C. 募集活動,1. 求人掲載,生成・編集した求人票をプレビュー確認後に公開する,既存実装あり,現行システムの既存機能で対応済み想定（要受入確認）,"- 生成・編集した求人票を求職者画面のプレビューで確認できること
- 公開前にAIが必須項目の未入力・表記ゆれ・不適切表現を自動検出し警告を表示できること
- プレビュー確認後、承認フローを経て公開できること
- 公開後も求人票を編集でき、変更履歴を保持できること"
4,US-004,JS_求職者,P. その他,1. ユーザーアクティビティ・基本情報,閲覧・応募・イベント参加等のアクティビティ履歴を記録・活用する,今回実装済,アクティビティログAPI/集計API/履歴画面を追加,- 閲覧・応募・イベント参加等のアクティビティ履歴を記録・活用できること
4,US-004,PC_運営者,P. その他,1. 求職者へのアクション,送信日時を予約設定する,既存実装あり,現行システムの既存機能で対応済み想定（要受入確認）,- 送信日時を予約設定できること
OPT-1,US-OPT,PC_運営者,P. その他,2. オプション機能管理,自治体ごとにオプション機能の有効・無効を管理画面から切り替える,今回実装済,管理画面と設定APIを追加し自治体単位ON/OFFを実装,"- PC_運営者の管理画面から、自治体単位でRecruitオプション機能6種をそれぞれ独立してON/OFFできること
対象オプション機能（Recruit）：
  1. 録画面接（非同期）
  2. 対話型AI面接
  3. 採用ファネル逆算AI（高精度版）
  4. SNS一元管理・自動投稿
  5. 採用コンピテンシー分析・活躍予測
  6. 競合自治体の採用動向分析
- 有効化・無効化はリアルタイムで反映され、対象自治体の採用担当者画面に即時適用されること
- 無効化された機能は採用担当者画面から完全に非表示になること（メニュー・ボタン・案内文を含む）
- 有効化の操作ログ（操作者・日時・対象自治体・対象機能）が記録・参照できること"
OPT-2,US-OPT,PC_運営者,P. その他,2. オプション機能管理,オプション機能にトライアル期間を設定して期限付きで有効化する,今回実装済,トライアル期間と契約区分の設定UI/APIを追加,"- オプション機能を有効化する際に「トライアル期間（開始日・終了日）」を設定できること
- トライアル期間終了の7日前・3日前・当日に管理者へアラート通知が送られること
- トライアル期間終了後は該当機能が自動的に無効化されること
- トライアル期間中の利用状況（利用回数・利用ユーザー数・操作ログ）を管理画面で確認できること
- トライアルから本契約への切り替えは管理画面から1操作で完了できること"
OPT-3,US-OPT,PC_運営者,P. その他,2. オプション機能管理,全自治体のオプション契約状況・有効化状況を一覧で管理する,今回実装済,自治体×オプションのマトリクス表示と保存を実装,"- 全自治体×全オプション機能のマトリクス形式で有効化状況を一覧表示できること
- 自治体名・オプション種別・有効化日・トライアル/本契約の区分・期限を表示できること
- 「未導入の自治体」「トライアル期限が30日以内」などの条件でフィルタリングできること
- 一覧からCSVエクスポートができること
- オプション別の導入率・平均利用頻度を集計したサマリーダッシュボードを表示できること"
OPT-5,US-OPT,PC_運営者,P. その他,2. オプション機能管理,有効化されたオプション機能の利用状況をモニタリングする,今回実装済,利用状況サマリーAPIと管理画面テーブルを実装,"- オプション機能ごとに「利用回数」「利用ユーザー数」「最終利用日」を自治体単位で確認できること
- 直近30日間の利用がない自治体を「休眠アラート」として管理画面に表示できること
- 利用状況のサマリーを週次でRP・CS担当者にメール通知できること
- 利用状況データをCSVエクスポートできること"
NAME-1,US-NAME,PC_運営者,P. その他,3. サービス名称管理,求職者向けサービス名をプラットフォーム全体に統一表示する,今回実装済,求職者向けタイトル/OGPの既定値を統一し管理設定を追加,"- ブラウザのタイトルバー・タブ名は「公務員採用プラットフォーム PUBLIC CONNECT」と表示されること
- 求職者向けページのヘッダーロゴ横テキストは「公務員採用プラットフォーム PUBLIC CONNECT」と表示されること
- 自治体の採用管理画面（Recruit）のヘッダー・管理画面には「Recruit」を使用し、「公務員採用プラットフォーム PUBLIC CONNECT」は表示しないこと
- ドメインは変更しない（現行ドメインを維持）
※ 求職者向け表示名は「公務員採用プラットフォーム PUBLIC CONNECT」を使用する。自治体向け管理画面はRecruitのまま変更なし。"
NAME-2,US-NAME,PC_運営者,P. その他,3. サービス名称管理,メール通知の送信元名・件名に求職者向けサービス名を使用する,今回実装済,送信元名と件名プレフィックスの管理設定を追加,"- 求職者宛てメール通知の送信元名は「公務員採用プラットフォーム PUBLIC CONNECT」と表示されること
- 件名の冒頭または末尾に「[公務員採用プラットフォーム PUBLIC CONNECT]」を付与できること
- 自治体（採用担当者）宛てメール通知の送信元名は「Recruit」または自治体名を使用すること
- メール通知テンプレートの編集画面でサービス名を変更できないよう制御すること
※ 求職者向け表示名は「公務員採用プラットフォーム PUBLIC CONNECT」を使用する。自治体向け管理画面はRecruitのまま変更なし。"
NAME-3,US-NAME,PC_運営者,P. その他,3. サービス名称管理,SNSシェア時のOGP表示に求職者向けサービス名を使用する,今回実装済,OGP既定値を統一し管理設定を追加,"- プラットフォーム全体のOGPタイトルのデフォルト値は「公務員採用プラットフォーム PUBLIC CONNECT」とすること
- OGPのog:site_nameには「公務員採用プラットフォーム PUBLIC CONNECT」を設定すること
- 自治体が採用ページに独自OGPタイトルを設定した場合はそちらを優先表示すること
- ドメインは変更しない（現行ドメインを維持）
※ 求職者向け表示名は「公務員採用プラットフォーム PUBLIC CONNECT」を使用する。自治体向け管理画面はRecruitのまま変更なし。"
NAME-4,US-NAME,PC_運営者,P. その他,3. サービス名称管理,PC_運営者がサービス表示名を一元管理できる,今回実装済,管理画面にサービス名称一元管理ページを追加,"- PC_運営者の管理画面から求職者向けサービス表示名を設定できること
- 設定した表示名はタイトルバー・ヘッダー・メール送信元・OGPに一括反映されること
- 表示名の変更履歴（変更日時・変更者・変更前後の値）が記録されること
- 自治体向け管理画面（Recruit）の表示名は別途独立して管理できること"
